alpha_ii,alpha_oo,alpha_io,sample,asymmetry,loss
0.65,0.65,0.65,9,0.127095585830235,0.00266666666666667
0.65,0.65,0.95,8,0.380752743925786,0.224666666666667
0.65,0.95,0.65,10,0.137648605191174,0.0153333333333333
0.65,0.95,0.95,10,0.143833280159232,0.226666666666667
0.95,0.65,0.65,8,0.202659483323018,0.004
0.95,0.65,0.95,10,0.675831984570927,0.137333333333333
0.95,0.95,0.65,6,0.154898908128782,0.0826666666666667
0.95,0.95,0.95,10,0.093010844160155,0.242666666666667
0.75,0.75,0.75,8,0.130285494719073,0.173333333333333
0.75,0.75,0.85,8,0.146882846616272,0.299333333333333
0.75,0.85,0.75,7,0.075807570152459,0.196
0.75,0.85,0.85,8,0.129703299645684,0.107333333333333
0.85,0.75,0.75,8,0.39212787078836,0.000666666666666667
0.85,0.75,0.85,10,0.134888523845536,0
0.85,0.85,0.75,9,0.0711247137387354,0
0.85,0.85,0.85,6,0,0.25
